type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-01-23 12:52:42,47.67526868,17.66565590,3.79,108.751,44.191,0.000,,30,31,20250123-135242,GPS Logger: 20250123-135242 - szerviz-egyetem0123
T,2025-01-23 12:52:43,47.67526865,17.66565587,3.79,108.749,44.191,0.000,,30,31,,
T,2025-01-23 12:52:44,47.67526865,17.66565584,3.79,108.747,44.191,0.000,,30,31,,
T,2025-01-23 12:52:45,47.67526866,17.66565580,3.79,108.747,44.191,0.000,,30,31,,
T,2025-01-23 12:52:46,47.67526866,17.66565575,3.79,108.743,44.191,0.000,,29,31,,
T,2025-01-23 12:52:47,47.67526867,17.66565569,3.79,108.742,44.191,0.000,,29,31,,
T,2025-01-23 12:52:48,47.67526868,17.66565565,3.79,108.741,44.191,0.000,,30,31,,
T,2025-01-23 12:52:49,47.67526868,17.66565560,3.79,108.737,44.191,0.000,,30,31,,
T,2025-01-23 12:52:50,47.67526868,17.66565556,3.79,108.737,44.191,0.000,,30,31,,
T,2025-01-23 12:52:51,47.67526529,17.66566148,3.79,108.319,44.191,0.550,123,29,31,,
T,2025-01-23 12:52:52,47.67526055,17.66567496,3.79,108.768,44.191,1.250,113,29,31,,
T,2025-01-23 12:52:53,47.67525912,17.66570068,3.79,109.237,44.191,1.750,106,29,31,,
T,2025-01-23 12:52:54,47.67525937,17.66572659,3.79,109.118,44.191,1.960,96,29,31,,
T,2025-01-23 12:52:55,47.67526516,17.66575643,3.79,109.163,44.191,2.150,83,30,31,,
T,2025-01-23 12:52:56,47.67528513,17.66579277,3.79,109.246,44.191,3.650,76,30,31,,
T,2025-01-23 12:52:57,47.67532418,17.66581953,3.79,109.801,44.191,4.310,32,30,31,,
T,2025-01-23 12:52:58,47.67536737,17.66584864,3.79,110.360,44.190,4.770,33,29,31,,
T,2025-01-23 12:52:59,47.67542320,17.66587757,3.79,110.248,44.190,5.010,33,29,31,,
T,2025-01-23 12:53:00,47.67546447,17.66591245,3.79,110.649,44.190,5.290,32,29,31,,
T,2025-01-23 12:53:01,47.67550835,17.66594776,3.79,110.350,44.190,5.060,31,29,31,,
T,2025-01-23 12:53:02,47.67554832,17.66598178,3.79,110.112,44.190,5.050,29,30,31,,
T,2025-01-23 12:53:03,47.67558638,17.66601707,3.79,110.152,44.190,5.010,30,30,31,,
T,2025-01-23 12:53:04,47.67562425,17.66604896,3.79,110.811,44.190,4.790,29,30,31,,
T,2025-01-23 12:53:05,47.67565626,17.66606656,3.79,111.322,44.190,3.890,26,30,31,,
T,2025-01-23 12:53:06,47.67568305,17.66607608,3.79,111.731,44.190,3.200,21,30,31,,
T,2025-01-23 12:53:07,47.67570672,17.66608325,3.79,111.857,44.190,2.520,15,30,31,,
T,2025-01-23 12:53:08,47.67573875,17.66606524,3.79,111.792,44.190,3.510,2,30,31,,
T,2025-01-23 12:53:09,47.67577513,17.66602516,3.79,112.077,44.190,4.610,347,30,31,,
T,2025-01-23 12:53:10,47.67580906,17.66595464,3.79,112.664,44.189,5.580,333,30,31,,
T,2025-01-23 12:53:11,47.67584665,17.66586850,3.79,112.735,44.189,6.860,322,30,31,,
T,2025-01-23 12:53:12,47.67587577,17.66577247,3.79,113.069,44.189,7.440,306,29,31,,
T,2025-01-23 12:53:13,47.67589715,17.66568291,3.79,113.562,44.189,6.800,294,29,31,,
T,2025-01-23 12:53:14,47.67591595,17.66560148,3.79,112.996,44.189,6.130,290,28,31,,
T,2025-01-23 12:53:15,47.67593523,17.66552954,3.79,112.744,44.189,5.610,288,26,31,,
T,2025-01-23 12:53:16,47.67595737,17.66546936,3.79,113.036,44.189,4.990,289,26,31,,
T,2025-01-23 12:53:17,47.67598627,17.66543131,3.79,112.316,44.189,3.210,289,26,31,,
T,2025-01-23 12:53:18,47.67601110,17.66541281,3.79,112.048,44.189,2.200,291,26,31,,
T,2025-01-23 12:53:19,47.67603445,17.66540379,3.79,112.247,44.189,1.790,291,26,31,,
T,2025-01-23 12:53:20,47.67607308,17.66541065,3.79,112.582,44.189,3.350,294,27,31,,
T,2025-01-23 12:53:21,47.67612224,17.66544036,3.79,112.696,44.189,4.510,302,27,31,,
T,2025-01-23 12:53:22,47.67617175,17.66550201,3.79,113.185,44.189,6.740,303,28,31,,
T,2025-01-23 12:53:23,47.67623141,17.66557587,3.79,112.863,44.188,8.460,301,29,31,,
T,2025-01-23 12:53:24,47.67629683,17.66565749,3.79,113.024,44.188,9.270,39,30,31,,
T,2025-01-23 12:53:25,47.67635461,17.66575757,3.79,112.973,44.188,9.490,45,30,31,,
T,2025-01-23 12:53:26,47.67640313,17.66587459,3.79,112.245,44.188,9.590,56,30,31,,
T,2025-01-23 12:53:27,47.67644834,17.66599063,3.79,112.739,44.188,10.070,63,30,31,,
T,2025-01-23 12:53:28,47.67648509,17.66611144,3.79,112.802,44.188,9.930,69,30,31,,
T,2025-01-23 12:53:29,47.67651119,17.66622695,3.79,112.418,44.188,9.340,72,30,31,,
T,2025-01-23 12:53:30,47.67654124,17.66632752,3.79,112.420,44.188,7.970,68,30,31,,
T,2025-01-23 12:53:31,47.67657517,17.66640761,3.79,112.400,44.188,7.090,64,30,31,,
T,2025-01-23 12:53:32,47.67660871,17.66647802,3.79,111.537,44.188,6.010,60,30,31,,
T,2025-01-23 12:53:33,47.67664403,17.66652679,3.79,111.617,44.187,4.820,56,30,31,,
T,2025-01-23 12:53:34,47.67666781,17.66655636,3.79,112.127,44.187,3.150,53,30,31,,
T,2025-01-23 12:53:35,47.67668178,17.66656939,3.79,112.137,44.187,1.690,51,30,31,,
T,2025-01-23 12:53:36,47.67668746,17.66657118,3.79,112.115,44.187,0.750,50,30,31,,
T,2025-01-23 12:53:37,47.67669295,17.66656993,3.79,112.073,44.187,0.270,50,30,31,,
T,2025-01-23 12:53:38,47.67670044,17.66657863,3.79,112.153,44.187,0.810,47,30,31,,
T,2025-01-23 12:53:39,47.67671860,17.66659498,3.79,112.476,44.187,2.280,40,29,31,,
T,2025-01-23 12:53:40,47.67675134,17.66660735,3.79,112.445,44.187,3.560,28,29,31,,
T,2025-01-23 12:53:41,47.67679245,17.66659973,3.79,112.183,44.187,4.280,17,30,31,,
T,2025-01-23 12:53:42,47.67683067,17.66647195,3.79,112.276,44.187,4.640,6,30,31,,
T,2025-01-23 12:53:43,47.67685663,17.66638984,3.79,112.371,44.187,4.380,3,30,31,,
T,2025-01-23 12:53:44,47.67688436,17.66630358,3.79,112.527,44.187,4.080,2,30,31,,
T,2025-01-23 12:53:45,47.67691494,17.66620374,3.79,112.254,44.187,3.830,356,30,31,,
T,2025-01-23 12:53:46,47.67695243,17.66608127,3.79,112.200,44.187,8.320,5,30,31,,
T,2025-01-23 12:53:47,47.67698772,17.66598026,3.79,111.969,44.187,5.460,355,30,31,,
T,2025-01-23 12:53:48,47.67701909,17.66586782,3.79,111.725,44.187,5.670,355,30,31,,
T,2025-01-23 12:53:49,47.67705407,17.66576532,3.79,111.898,44.186,4.600,351,30,31,,
T,2025-01-23 12:53:50,47.67708616,17.66566380,3.79,111.614,44.186,4.330,351,30,31,,
T,2025-01-23 12:53:51,47.67711127,17.66558018,3.79,111.491,44.186,2.890,351,30,31,,
T,2025-01-23 12:53:52,47.67713496,17.66550684,3.79,111.352,44.186,2.300,352,30,31,,
T,2025-01-23 12:53:53,47.67715599,17.66543566,3.79,111.329,44.186,2.120,353,30,31,,
T,2025-01-23 12:53:54,47.67718169,17.66535859,3.79,111.306,44.186,2.870,350,30,31,,
T,2025-01-23 12:53:55,47.67721479,17.66527608,3.79,111.513,44.186,4.560,344,30,31,,
T,2025-01-23 12:53:56,47.67723881,17.66518131,3.79,111.596,44.186,4.790,344,30,31,,
T,2025-01-23 12:53:57,47.67727765,17.66508330,3.79,112.111,44.186,6.580,314,30,31,,
T,2025-01-23 12:53:58,47.67729359,17.66495661,3.79,112.499,44.186,8.690,289,30,31,,
T,2025-01-23 12:53:59,47.67732457,17.66484417,3.79,112.559,44.186,9.360,292,30,31,,
T,2025-01-23 12:54:00,47.67736001,17.66472339,3.79,112.072,44.186,9.700,289,30,31,,
T,2025-01-23 12:54:01,47.67739097,17.66459547,3.79,111.064,44.186,10.130,287,30,31,,
T,2025-01-23 12:54:02,47.67742059,17.66445541,3.79,110.600,44.186,10.720,285,30,31,,
T,2025-01-23 12:54:03,47.67745125,17.66430567,3.79,109.842,44.186,11.410,283,30,31,,
T,2025-01-23 12:54:04,47.67748096,17.66415041,3.79,108.665,44.185,12.050,282,30,31,,
T,2025-01-23 12:54:05,47.67750299,17.66400118,3.79,107.914,44.185,11.650,280,30,31,,
T,2025-01-23 12:54:06,47.67755312,17.66387475,3.79,108.539,44.185,11.450,281,29,30,,
T,2025-01-23 12:54:07,47.67760500,17.66374550,3.79,110.158,44.185,10.890,280,28,30,,
T,2025-01-23 12:54:08,47.67765208,17.66361537,3.79,110.907,44.185,10.100,279,27,30,,
T,2025-01-23 12:54:09,47.67768773,17.66350530,3.79,111.592,44.185,8.800,276,26,30,,
T,2025-01-23 12:54:10,47.67770719,17.66339567,3.79,111.573,44.185,8.070,272,25,30,,
T,2025-01-23 12:54:11,47.67770845,17.66328856,3.79,112.382,44.185,7.840,263,28,30,,
T,2025-01-23 12:54:12,47.67768370,17.66319483,3.79,112.215,44.185,7.710,251,29,30,,
T,2025-01-23 12:54:13,47.67764131,17.66311352,3.79,111.916,44.185,7.510,244,29,30,,
T,2025-01-23 12:54:14,47.67761383,17.66303608,3.79,111.763,44.185,6.860,244,29,30,,
T,2025-01-23 12:54:15,47.67759586,17.66296641,3.79,111.448,44.185,5.870,248,29,30,,
T,2025-01-23 12:54:16,47.67759479,17.66289094,3.79,112.067,44.185,5.380,252,29,30,,
T,2025-01-23 12:54:17,47.67761438,17.66280408,3.79,111.732,44.185,6.510,283,29,30,,
T,2025-01-23 12:54:18,47.67765258,17.66271772,3.79,111.273,44.185,7.590,303,29,30,,
T,2025-01-23 12:54:19,47.67769393,17.66262565,3.79,111.375,44.185,8.250,302,29,30,,
T,2025-01-23 12:54:20,47.67773807,17.66250937,3.79,111.583,44.185,9.510,300,29,30,,
T,2025-01-23 12:54:21,47.67778291,17.66238117,3.79,111.576,44.185,10.730,299,29,30,,
T,2025-01-23 12:54:22,47.67783741,17.66225365,3.79,112.193,44.185,11.570,301,29,30,,
T,2025-01-23 12:54:23,47.67789708,17.66212338,3.79,112.530,44.185,11.930,304,29,30,,
T,2025-01-23 12:54:24,47.67795673,17.66200335,3.79,113.114,44.184,11.430,305,29,30,,
T,2025-01-23 12:54:25,47.67801457,17.66188660,3.79,113.462,44.184,11.110,305,29,30,,
T,2025-01-23 12:54:26,47.67807116,17.66177440,3.79,113.512,44.184,10.690,306,29,30,,
T,2025-01-23 12:54:27,47.67812410,17.66167012,3.79,113.704,44.184,9.780,306,29,30,,
T,2025-01-23 12:54:28,47.67817241,17.66158842,3.79,113.831,44.184,8.510,308,29,30,,
T,2025-01-23 12:54:29,47.67821041,17.66150754,3.79,113.701,44.184,7.360,307,27,30,,
T,2025-01-23 12:54:30,47.67824355,17.66144171,3.79,114.240,44.184,6.380,308,26,30,,
T,2025-01-23 12:54:31,47.67827712,17.66138148,3.79,114.140,44.184,5.670,309,27,30,,
T,2025-01-23 12:54:32,47.67831191,17.66134300,3.79,112.455,44.184,4.370,310,27,30,,
T,2025-01-23 12:54:33,47.67833671,17.66131862,3.79,112.294,44.184,3.040,311,28,30,,
T,2025-01-23 12:54:34,47.67834867,17.66130349,3.79,111.030,44.183,1.960,311,28,30,,
T,2025-01-23 12:54:35,47.67836234,17.66129213,3.79,111.298,44.183,1.310,312,28,30,,
T,2025-01-23 12:54:36,47.67837600,17.66127811,3.79,111.612,44.183,1.240,312,28,30,,
T,2025-01-23 12:54:37,47.67839323,17.66125162,3.79,111.770,44.183,2.570,312,29,30,,
T,2025-01-23 12:54:38,47.67842223,17.66121015,3.79,111.628,44.183,4.410,314,28,30,,
T,2025-01-23 12:54:39,47.67846390,17.66115499,3.79,111.978,44.183,5.330,316,28,30,,
T,2025-01-23 12:54:40,47.67851193,17.66109246,3.79,111.882,44.183,6.590,318,29,30,,
T,2025-01-23 12:54:41,47.67856909,17.66103336,3.79,111.390,44.183,7.420,320,29,30,,
T,2025-01-23 12:54:42,47.67862669,17.66097816,3.79,111.001,44.183,7.230,323,29,30,,
T,2025-01-23 12:54:43,47.67868584,17.66091938,3.79,111.339,44.183,7.780,326,29,30,,
T,2025-01-23 12:54:44,47.67875030,17.66087587,3.79,111.043,44.183,8.170,330,29,30,,
T,2025-01-23 12:54:45,47.67881921,17.66084129,3.79,111.328,44.182,8.050,333,29,30,,
T,2025-01-23 12:54:46,47.67889162,17.66080964,3.79,111.219,44.182,8.060,336,29,30,,
T,2025-01-23 12:54:47,47.67896063,17.66077137,3.79,111.233,44.182,8.130,335,29,30,,
T,2025-01-23 12:54:48,47.67902068,17.66072246,3.79,110.914,44.182,7.870,331,29,30,,
T,2025-01-23 12:54:49,47.67907192,17.66065629,3.79,110.789,44.182,7.630,327,29,30,,
T,2025-01-23 12:54:50,47.67911000,17.66058727,3.79,110.596,44.182,6.740,323,29,30,,
T,2025-01-23 12:54:51,47.67913581,17.66047805,3.79,110.992,44.182,7.200,318,29,30,,
T,2025-01-23 12:54:52,47.67914387,17.66036663,3.79,110.955,44.182,6.910,314,29,30,,
T,2025-01-23 12:54:53,47.67914215,17.66025942,3.79,111.072,44.182,6.120,310,29,30,,
T,2025-01-23 12:54:54,47.67913727,17.66014456,3.79,110.998,44.182,6.410,312,29,30,,
T,2025-01-23 12:54:55,47.67914791,17.66002599,3.79,110.409,44.182,6.940,316,29,30,,
T,2025-01-23 12:54:56,47.67916743,17.65991237,3.79,110.405,44.182,7.500,319,29,30,,
T,2025-01-23 12:54:57,47.67919458,17.65979607,3.79,110.648,44.181,8.100,321,29,30,,
T,2025-01-23 12:54:58,47.67922487,17.65967058,3.79,110.128,44.181,9.850,295,29,30,,
T,2025-01-23 12:54:59,47.67927022,17.65955894,3.79,109.403,44.181,10.370,300,29,30,,
T,2025-01-23 12:55:00,47.67931752,17.65944036,3.79,109.317,44.181,10.370,301,29,30,,
T,2025-01-23 12:55:01,47.67936759,17.65932083,3.79,109.236,44.181,10.820,303,29,30,,
T,2025-01-23 12:55:02,47.67942454,17.65920530,3.79,109.001,44.181,10.750,305,29,30,,
T,2025-01-23 12:55:03,47.67948243,17.65909730,3.79,109.718,44.181,10.730,308,28,30,,
T,2025-01-23 12:55:04,47.67954491,17.65898641,3.79,109.773,44.181,10.310,310,28,30,,
T,2025-01-23 12:55:05,47.67960813,17.65888467,3.79,109.761,44.181,9.840,312,28,30,,
T,2025-01-23 12:55:06,47.67967420,17.65879234,3.79,109.952,44.180,9.760,315,28,30,,
T,2025-01-23 12:55:07,47.67973911,17.65868949,3.79,109.955,44.180,10.240,316,28,30,,
T,2025-01-23 12:55:08,47.67981175,17.65859003,3.79,109.975,44.180,10.680,317,28,30,,
T,2025-01-23 12:55:09,47.67988904,17.65848843,3.79,110.244,44.180,10.990,319,28,30,,
T,2025-01-23 12:55:10,47.67995637,17.65838823,3.79,109.741,44.180,11.080,320,28,30,,
T,2025-01-23 12:55:11,47.68003253,17.65828542,3.79,110.197,44.180,11.090,321,28,30,,
